id,label,region,layer,oem_group,node_type,control_boundary,confidence,notes,source_name,source_url,source_date,evidence_note,evidence_status,provenance_id,provenance_parent,citation_required,last_validated_date,verification_level,verification_status
europe_volkswagen_group__chip__stmicroelectronics,STMicroelectronics,europe,Semiconductor & Compute,Volkswagen Group,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Company website,https://www.st.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_1207b95323,,1,,1.0,REFERENCED
europe_volkswagen_group__chip__texas_instruments,Texas Instruments,europe,Semiconductor & Compute,Volkswagen Group,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Company website,https://www.ti.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_241bb94f94,,1,,1.0,REFERENCED
europe_volkswagen_group__chip__intel,Intel,europe,Semiconductor & Compute,Volkswagen Group,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_21aeaaf168,,1,,1.0,ASSUMED
europe_volkswagen_group__chip__mobileye,Mobileye,europe,Semiconductor & Compute,Volkswagen Group,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Company website,https://www.mobileye.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_aced24e924,,1,,1.0,REFERENCED
europe_volkswagen_group__chip__amd,AMD,europe,Semiconductor & Compute,Volkswagen Group,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_5b40e33e31,,1,,1.0,ASSUMED
europe_volkswagen_group__telco__vodafone,Vodafone,europe,Connectivity Providers,Volkswagen Group,Connectivity,external,soft,Connectivity partner; varies by market,Company website,https://www.vodafone.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_b8c627be1c,,1,,1.0,REFERENCED
europe_volkswagen_group__telco__deutsche_telekom,Deutsche Telekom,europe,Connectivity Providers,Volkswagen Group,Connectivity,external,soft,Connectivity partner; varies by market,Company website,https://www.telekom.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_35bd449544,,1,,1.0,REFERENCED
europe_volkswagen_group__telco__orange,Orange,europe,Connectivity Providers,Volkswagen Group,Connectivity,external,soft,Connectivity partner; varies by market,Company website,https://www.orange.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_ab60d121f4,,1,,1.0,REFERENCED
europe_volkswagen_group__telco__telefónica,Telefónica,europe,Connectivity Providers,Volkswagen Group,Connectivity,external,soft,Connectivity partner; varies by market,Company website,https://www.telefonica.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_12be8fe4ca,,1,,1.0,REFERENCED
europe_volkswagen_group__cloudvendor__aws,AWS,europe,Cloud Infrastructure,Volkswagen Group,Cloud,external,soft,Cloud vendor; mix varies by program,Company website,https://aws.amazon.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_101ba291b9,,1,,1.0,REFERENCED
europe_volkswagen_group__cloudvendor__microsoft_azure,Microsoft Azure,europe,Cloud Infrastructure,Volkswagen Group,Cloud,external,soft,Cloud vendor; mix varies by program,Company website,https://azure.microsoft.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_a36ec4b953,,1,,1.0,REFERENCED
europe_volkswagen_group__cloudvendor__google_cloud,Google Cloud,europe,Cloud Infrastructure,Volkswagen Group,Cloud,external,soft,Cloud vendor; mix varies by program,Company website,https://cloud.google.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_d043a7ce8a,,1,,1.0,REFERENCED
europe_volkswagen_group__ins__allianz,Allianz,europe,External Insurance & Risk Ecosystem,Volkswagen Group,Insurance,external,soft,Insurance ecosystem node; partnerships vary by market,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_41f6bfd824,,1,,1.0,ASSUMED
europe_volkswagen_group__ins__axa,AXA,europe,External Insurance & Risk Ecosystem,Volkswagen Group,Insurance,external,soft,Insurance ecosystem node; partnerships vary by market,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_b67b3244af,,1,,1.0,ASSUMED
europe_volkswagen_group__ins__zurich_insurance,Zurich Insurance,europe,External Insurance & Risk Ecosystem,Volkswagen Group,Insurance,external,soft,Insurance ecosystem node; partnerships vary by market,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_785e821d47,,1,,1.0,ASSUMED
europe_volkswagen_group__ins__generali,Generali,europe,External Insurance & Risk Ecosystem,Volkswagen Group,Insurance,external,soft,Insurance ecosystem node; partnerships vary by market,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_4973bf2532,,1,,1.0,ASSUMED
europe_volkswagen_group__chg__ionity,IONITY,europe,Energy & Charging,Volkswagen Group,Charging,external,soft,Charging network integration varies,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_16ed96e131,,1,,1.0,ASSUMED
europe_volkswagen_group__chg__shell_recharge,Shell Recharge,europe,Energy & Charging,Volkswagen Group,Charging,external,soft,Charging network integration varies,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_b5f4ee6a46,,1,,1.0,ASSUMED
europe_volkswagen_group__chg__bp_pulse,BP Pulse,europe,Energy & Charging,Volkswagen Group,Charging,external,soft,Charging network integration varies,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_2b0368b422,,1,,1.0,ASSUMED
europe_volkswagen_group__adas__mobileye,Mobileye,europe,Semiconductor & Compute,Volkswagen Group,ADAS,external,soft,ADAS / perception + mapping,Company website,https://www.mobileye.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_d0abac3b35,,1,,1.0,REFERENCED
europe_volkswagen_group__adas__nvidia_drive,NVIDIA DRIVE,europe,Semiconductor & Compute,Volkswagen Group,ADAS,external,soft,ADAS compute + software platform,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_9bc07b51eb,,1,,1.0,ASSUMED
europe_volkswagen_group__adas__qualcomm_snapdragon_ride,Qualcomm Snapdragon Ride,europe,Semiconductor & Compute,Volkswagen Group,ADAS,external,soft,ADAS compute + software platform,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_72b4b88094,,1,,1.0,ASSUMED
europe_volkswagen_group__adas__bosch_adas,Bosch ADAS,europe,Tier-1 Hardware Suppliers,Volkswagen Group,ADAS,external,soft,ADAS system integration,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_351f8643e1,,1,,1.0,ASSUMED
europe_volkswagen_group__adas__continental_adas,Continental ADAS,europe,Tier-1 Hardware Suppliers,Volkswagen Group,ADAS,external,soft,ADAS system integration,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_3d48734e8e,,1,,1.0,ASSUMED
europe_volkswagen_group__adas__aptiv_adas,Aptiv ADAS,europe,Tier-1 Hardware Suppliers,Volkswagen Group,ADAS,external,soft,ADAS system integration,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_3a7c10f4c3,,1,,1.0,ASSUMED
europe_volkswagen_group__map__here_technologies,HERE Technologies,europe,Product APIs,Volkswagen Group,Mapping,external,soft,HD maps + location,Company website,https://www.here.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_37734c5d64,,1,,1.0,REFERENCED
europe_volkswagen_group__map__tomtom,TomTom,europe,Product APIs,Volkswagen Group,Mapping,external,soft,Maps + traffic,Company website,https://www.tomtom.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_2ae8e2a247,,1,,1.0,REFERENCED
europe_volkswagen_group__map__google_maps_platform,Google Maps Platform,europe,Product APIs,Volkswagen Group,Mapping,external,soft,Maps + routing,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_029fd983f0,,1,,1.0,ASSUMED
europe_volkswagen_group__dealer_vendor__sap_dealer_ops,SAP (Dealer Ops),europe,Dealer Systems,Volkswagen Group,DealerVendor,external,soft,Dealer tech/DMS vendor; dealer adoption varies,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_4c89f35a65,,1,,1.0,ASSUMED
europe_volkswagen_group__dealer_vendor__autoline_keyloop,Autoline (Keyloop),europe,Dealer Systems,Volkswagen Group,DealerVendor,external,soft,Dealer tech/DMS vendor; dealer adoption varies,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_4e31b8a277,,1,,1.0,ASSUMED
europe_volkswagen_group__dealer_vendor__pinewood_dms,Pinewood DMS,europe,Dealer Systems,Volkswagen Group,DealerVendor,external,soft,Dealer tech/DMS vendor; dealer adoption varies,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_eb53e21a24,,1,,1.0,ASSUMED
europe_volkswagen_group__fleet__geotab,Geotab,europe,Fleet & Enterprise Integrations,Volkswagen Group,Fleet,external,soft,Fleet/enterprise integration node; varies by customer segment,Company website,https://www.geotab.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_83892d5571,,1,,1.0,REFERENCED
europe_volkswagen_group__fleet__webfleet_bridgestone,Webfleet (Bridgestone),europe,Fleet & Enterprise Integrations,Volkswagen Group,Fleet,external,soft,Fleet/enterprise integration node; varies by customer segment,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_dd036ef3c6,,1,,1.0,ASSUMED
europe_volkswagen_group__fleet__samsara,Samsara,europe,Fleet & Enterprise Integrations,Volkswagen Group,Fleet,external,soft,Fleet/enterprise integration node; varies by customer segment,Company website,https://www.samsara.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_251b57de7f,,1,,1.0,REFERENCED
europe_mercedes_benz_group__holdco,Mercedes-Benz Group,europe,Ownership & Brand Stack,Mercedes-Benz Group,HOLDCO,oem,hard,OEM group parent,Company structure (general),,2026-03-02,Entity node,ASSUMED,n_e234aea91a,,1,,1.0,ASSUMED
europe_mercedes_benz_group__os,Vehicle OS Platform (Mercedes-Benz Group),europe,Vehicle OS & Middleware,Mercedes-Benz Group,OS,oem,medium,OEM-controlled OS/middleware layer,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_2dc59b9517,,1,,1.0,ASSUMED
europe_mercedes_benz_group__ota,OTA Update Service (Mercedes-Benz Group),europe,OTA & Software Update Infrastructure,Mercedes-Benz Group,OTA,oem,medium,Update orchestration + policy,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_fb78293cd0,,1,,1.0,ASSUMED
europe_mercedes_benz_group__tcu,Telematics Gateway/TCU (Mercedes-Benz Group),europe,Telematics & TCU,Mercedes-Benz Group,Telematics,oem,medium,Vehicle telemetry gateway,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_16e298c8e6,,1,,1.0,ASSUMED
europe_mercedes_benz_group__carrier,Carrier/MVNO (Mercedes-Benz Group),europe,Connectivity Providers,Mercedes-Benz Group,Connectivity,external,soft,Carrier partnerships vary by market,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_87aae2cc9a,,1,,1.0,ASSUMED
europe_mercedes_benz_group__cloud,Cloud Hosting (Mercedes-Benz Group),europe,Cloud Infrastructure,Mercedes-Benz Group,Cloud,external,soft,Cloud mix varies by program,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_f8452ce1e1,,1,,1.0,ASSUMED
europe_mercedes_benz_group__stream,Streaming Layer (Mercedes-Benz Group),europe,Streaming & Data Lake,Mercedes-Benz Group,DataPlatform,oem,medium,Ingestion + streaming layer,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_b00b58de3e,,1,,1.0,ASSUMED
europe_mercedes_benz_group__lake,Lakehouse (Mercedes-Benz Group),europe,Streaming & Data Lake,Mercedes-Benz Group,DataPlatform,oem,medium,Long-term telemetry storage,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_d9ce1c2f61,,1,,1.0,ASSUMED
europe_mercedes_benz_group__ai,AI/Analytics (Mercedes-Benz Group),europe,AI / Analytics,Mercedes-Benz Group,AI,oem,medium,ML analytics over vehicle + customer data,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_dd6a34da1a,,1,,1.0,ASSUMED
europe_mercedes_benz_group__api,Product APIs (Mercedes-Benz Group),europe,Product APIs,Mercedes-Benz Group,API,oem,medium,External + internal API surface,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_4a3563ad28,,1,,1.0,ASSUMED
europe_mercedes_benz_group__gov,Governance Controls (GDPR),europe,Data Governance & Sovereignty,Mercedes-Benz Group,Governance,regulatory,hard,Consent/retention/access + localization rules,EUR-Lex (GDPR),https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng,2026-03-02,Official GDPR legal text (EU).,VERIFIED,n_5fd690e8a8,,0,2026-03-02,4.0,VERIFIED
europe_mercedes_benz_group__reg,Regulators (UNECE WP.29 R155/R156),europe,Regulators,Mercedes-Benz Group,Regulator,regulatory,hard,Cybersecurity + software update governance / reporting,UNECE WP.29 (R156),https://unece.org/transport/documents/2021/03/standards/un-regulation-no-156-software-update-and-software-update,2026-03-02,UNECE WP.29 software update regulation reference.,VERIFIED,n_de6dcd9ace,,0,2026-03-02,4.0,VERIFIED
europe_mercedes_benz_group__dms,Dealer Systems (EUROPE),europe,Dealer Systems,Mercedes-Benz Group,DealerTech,external,soft,Dealer management layer; vendor varies by country,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_29007c33b3,,1,,1.0,ASSUMED
europe_mercedes_benz_group__tier1__bosch,Bosch,europe,Tier-1 Hardware Suppliers,Mercedes-Benz Group,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Company website,https://www.bosch.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_452e17e9ad,,1,,1.0,REFERENCED
europe_mercedes_benz_group__tier1__continental,Continental,europe,Tier-1 Hardware Suppliers,Mercedes-Benz Group,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Company website,https://www.continental.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_f407f995ba,,1,,1.0,REFERENCED
europe_mercedes_benz_group__tier1__zf,ZF,europe,Tier-1 Hardware Suppliers,Mercedes-Benz Group,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Company website,https://www.zf.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_377a9a255f,,1,,1.0,REFERENCED
europe_mercedes_benz_group__tier1__valeo,Valeo,europe,Tier-1 Hardware Suppliers,Mercedes-Benz Group,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Company website,https://www.valeo.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_14c6158e54,,1,,1.0,REFERENCED
europe_mercedes_benz_group__tier1__forvia,Forvia,europe,Tier-1 Hardware Suppliers,Mercedes-Benz Group,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_6075c24634,,1,,1.0,ASSUMED
europe_mercedes_benz_group__tier1__aptiv,Aptiv,europe,Tier-1 Hardware Suppliers,Mercedes-Benz Group,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Company website,https://www.aptiv.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_5a6783c4e5,,1,,1.0,REFERENCED
europe_mercedes_benz_group__tier1__magna_international,Magna International,europe,Tier-1 Hardware Suppliers,Mercedes-Benz Group,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_3a8a294bca,,1,,1.0,ASSUMED
europe_mercedes_benz_group__tier1__lear_corporation,Lear Corporation,europe,Tier-1 Hardware Suppliers,Mercedes-Benz Group,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_f929c71612,,1,,1.0,ASSUMED
