id,source,target,relation,confidence,region,notes,source_name,source_url,source_date,evidence_note,evidence_status,telemetry_edge,verified_edge,provenance_id,provenance_parent,citation_required,last_validated_date,verification_level,verification_status
e18,europe_volkswagen_group__tier1__aptiv,europe_volkswagen_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_f32ca8027b,,1,,1,ASSUMED
e19,europe_volkswagen_group__tier1__magna_international,europe_volkswagen_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_ba3b2e9915,,1,,1,ASSUMED
e20,europe_volkswagen_group__tier1__lear_corporation,europe_volkswagen_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_d6abbc7f6f,,1,,1,ASSUMED
e21,europe_volkswagen_group__tier1__denso,europe_volkswagen_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_b3a0c01b2a,,1,,1,ASSUMED
e22,europe_volkswagen_group__tier1__aisin,europe_volkswagen_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_b1f0367f00,,1,,1,ASSUMED
e23,europe_volkswagen_group__battery__catl,europe_volkswagen_group__holdco,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_ab43e08ae5,,1,,1,ASSUMED
e24,europe_volkswagen_group__battery__byd_battery,europe_volkswagen_group__holdco,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_a5dae329ad,,1,,1,ASSUMED
e25,europe_volkswagen_group__battery__lg_energy_solution,europe_volkswagen_group__holdco,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_08305ce0b1,,1,,1,ASSUMED
e26,europe_volkswagen_group__battery__sk_on,europe_volkswagen_group__holdco,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_7457986808,,1,,1,ASSUMED
e27,europe_volkswagen_group__battery__samsung_sdi,europe_volkswagen_group__holdco,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_97e89b3289,,1,,1,ASSUMED
e28,europe_volkswagen_group__battery__panasonic_energy,europe_volkswagen_group__holdco,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_54d33b3505,,1,,1,ASSUMED
e29,europe_volkswagen_group__chip__nvidia,europe_volkswagen_group__os,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_4ae50228a0,,1,,1,ASSUMED
e30,europe_volkswagen_group__chip__qualcomm,europe_volkswagen_group__os,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_7596b70d78,,1,,1,ASSUMED
e31,europe_volkswagen_group__chip__nxp,europe_volkswagen_group__os,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_a3b2fbc598,,1,,1,ASSUMED
e32,europe_volkswagen_group__chip__renesas,europe_volkswagen_group__os,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_7e3c4f15ce,,1,,1,ASSUMED
e33,europe_volkswagen_group__chip__infineon,europe_volkswagen_group__os,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_c712de34a3,,1,,1,ASSUMED
e34,europe_volkswagen_group__chip__stmicroelectronics,europe_volkswagen_group__os,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_782f17b241,,1,,1,ASSUMED
e35,europe_volkswagen_group__chip__texas_instruments,europe_volkswagen_group__os,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_2b1d542100,,1,,1,ASSUMED
e36,europe_volkswagen_group__chip__intel,europe_volkswagen_group__os,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_961e46dd7a,,1,,1,ASSUMED
e37,europe_volkswagen_group__chip__mobileye,europe_volkswagen_group__os,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_7ab00c9510,,1,,1,ASSUMED
e38,europe_volkswagen_group__chip__amd,europe_volkswagen_group__os,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_129e121068,,1,,1,ASSUMED
e39,europe_volkswagen_group__telco__vodafone,europe_volkswagen_group__carrier,PARTNERS,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_46a933ff1a,,1,,1,ASSUMED
e40,europe_volkswagen_group__telco__deutsche_telekom,europe_volkswagen_group__carrier,PARTNERS,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_b4832d0c0e,,1,,1,ASSUMED
e41,europe_volkswagen_group__telco__orange,europe_volkswagen_group__carrier,PARTNERS,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_ef988cb896,,1,,1,ASSUMED
e42,europe_volkswagen_group__telco__telefónica,europe_volkswagen_group__carrier,PARTNERS,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_2473153b7f,,1,,1,ASSUMED
e43,europe_volkswagen_group__cloudvendor__aws,europe_volkswagen_group__cloud,HOSTS,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_ba0a7d93d4,,1,,1,ASSUMED
e44,europe_volkswagen_group__cloudvendor__microsoft_azure,europe_volkswagen_group__cloud,HOSTS,soft,europe,Verified by OEM primary source,Volkswagen Newsroom — “Volkswagen and Microsoft announce strategic partnership”,https://www.volkswagen-newsroom.com/en/press-releases/volkswagen-and-microsoft-announce-strategic-partnership-4234,28/09/2018,VW states it will collaborate with Microsoft to develop the Volkswagen Automotive Cloud (Azure-based partnership).,VERIFIED,0,1,e_e5bc7d75d9,,1,4/03/2026,4,VERIFIED
e45,europe_volkswagen_group__cloudvendor__google_cloud,europe_volkswagen_group__cloud,HOSTS,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_3d7d83cc5e,,1,,1,ASSUMED
e46,europe_volkswagen_group__api,europe_volkswagen_group__ins__allianz,POTENTIAL TELEMATICS PARTNER,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_e391a0cfc0,,1,,1,ASSUMED
e47,europe_volkswagen_group__api,europe_volkswagen_group__ins__axa,POTENTIAL TELEMATICS PARTNER,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_c496955508,,1,,1,ASSUMED
e48,europe_volkswagen_group__api,europe_volkswagen_group__ins__zurich_insurance,POTENTIAL TELEMATICS PARTNER,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_952c3ff5ca,,1,,1,ASSUMED
e49,europe_volkswagen_group__api,europe_volkswagen_group__ins__generali,POTENTIAL TELEMATICS PARTNER,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_c6a68b7e86,,1,,1,ASSUMED
e50,europe_volkswagen_group__api,europe_volkswagen_group__chg__ionity,INTEGRATES WITH,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_548fb9a20c,,1,,1,ASSUMED
e51,europe_volkswagen_group__api,europe_volkswagen_group__chg__shell_recharge,INTEGRATES WITH,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_4ca29794a8,,1,,1,ASSUMED
e52,europe_volkswagen_group__api,europe_volkswagen_group__chg__bp_pulse,INTEGRATES WITH,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_4122cbd016,,1,,1,ASSUMED
e53,europe_volkswagen_group__adas__mobileye,europe_volkswagen_group__os,INTEGRATES WITH,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_2c375f2c7f,,1,,1,ASSUMED
e54,europe_volkswagen_group__adas__mobileye,europe_volkswagen_group__tcu,EXPOSES DATA,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_c3f06d5c8c,,1,,1,ASSUMED
e55,europe_volkswagen_group__adas__nvidia_drive,europe_volkswagen_group__os,INTEGRATES WITH,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_c13bc76ae5,,1,,1,ASSUMED
e56,europe_volkswagen_group__adas__nvidia_drive,europe_volkswagen_group__tcu,EXPOSES DATA,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_ab7a202ab2,,1,,1,ASSUMED
e57,europe_volkswagen_group__adas__qualcomm_snapdragon_ride,europe_volkswagen_group__os,INTEGRATES WITH,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_903ad798c2,,1,,1,ASSUMED
e58,europe_volkswagen_group__adas__qualcomm_snapdragon_ride,europe_volkswagen_group__tcu,EXPOSES DATA,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_9b7637cb1e,,1,,1,ASSUMED
e59,europe_volkswagen_group__adas__bosch_adas,europe_volkswagen_group__os,INTEGRATES WITH,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_2bb4b77ec5,,1,,1,ASSUMED
e60,europe_volkswagen_group__adas__bosch_adas,europe_volkswagen_group__tcu,EXPOSES DATA,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_598169c8c4,,1,,1,ASSUMED
e61,europe_volkswagen_group__adas__continental_adas,europe_volkswagen_group__os,INTEGRATES WITH,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_22037b3cba,,1,,1,ASSUMED
e62,europe_volkswagen_group__adas__continental_adas,europe_volkswagen_group__tcu,EXPOSES DATA,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_de8717a93f,,1,,1,ASSUMED
e63,europe_volkswagen_group__adas__aptiv_adas,europe_volkswagen_group__os,INTEGRATES WITH,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_080ba57de0,,1,,1,ASSUMED
e64,europe_volkswagen_group__adas__aptiv_adas,europe_volkswagen_group__tcu,EXPOSES DATA,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_c525621f2c,,1,,1,ASSUMED
e65,europe_volkswagen_group__api,europe_volkswagen_group__map__here_technologies,CONSUMES API,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_c266635e9c,,1,,1,ASSUMED
e66,europe_volkswagen_group__api,europe_volkswagen_group__map__tomtom,CONSUMES API,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_bb1ba461b7,,1,,1,ASSUMED
e67,europe_volkswagen_group__api,europe_volkswagen_group__map__google_maps_platform,CONSUMES API,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_7a9258e809,,1,,1,ASSUMED
e68,europe_volkswagen_group__dealer_vendor__sap_dealer_ops,europe_volkswagen_group__dms,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_6d30a5b06f,,1,,1,ASSUMED
e69,europe_volkswagen_group__dealer_vendor__autoline_keyloop,europe_volkswagen_group__dms,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_b2647fb2ff,,1,,1,ASSUMED
e70,europe_volkswagen_group__dealer_vendor__pinewood_dms,europe_volkswagen_group__dms,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_421634fc40,,1,,1,ASSUMED
e71,europe_volkswagen_group__api,europe_volkswagen_group__fleet__geotab,INTEGRATES WITH,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_592596376e,,1,,1,ASSUMED
e72,europe_volkswagen_group__lake,europe_volkswagen_group__fleet__geotab,EXPOSES DATA,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_d344921ed6,,1,,1,ASSUMED
e73,europe_volkswagen_group__api,europe_volkswagen_group__fleet__webfleet_bridgestone,INTEGRATES WITH,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_55f1134a88,,1,,1,ASSUMED
e74,europe_volkswagen_group__lake,europe_volkswagen_group__fleet__webfleet_bridgestone,EXPOSES DATA,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_85fdf23eb2,,1,,1,ASSUMED
e75,europe_volkswagen_group__api,europe_volkswagen_group__fleet__samsara,INTEGRATES WITH,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_3dc94ba6f6,,1,,1,ASSUMED
e76,europe_volkswagen_group__lake,europe_volkswagen_group__fleet__samsara,EXPOSES DATA,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_83d0f4c448,,1,,1,ASSUMED
e77,europe_mercedes_benz_group__holdco,europe_mercedes_benz_group__os,CONTROLS,medium,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_1805752f00,,1,,1,ASSUMED
e78,europe_mercedes_benz_group__os,europe_mercedes_benz_group__ota,PROCESSES,medium,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_6dfeb42e9f,,1,,1,ASSUMED
e79,europe_mercedes_benz_group__ota,europe_mercedes_benz_group__tcu,EXPOSES DATA,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_57522d2ec4,,1,,1,ASSUMED
e80,europe_mercedes_benz_group__tcu,europe_mercedes_benz_group__carrier,ROUTES DATA,medium,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_29831e14ac,,1,,1,ASSUMED
e81,europe_mercedes_benz_group__carrier,europe_mercedes_benz_group__cloud,ROUTES DATA,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_2bb9847bb0,,1,,1,ASSUMED
e82,europe_mercedes_benz_group__cloud,europe_mercedes_benz_group__stream,INGESTS,medium,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_a6a2a619c6,,1,,1,ASSUMED
e83,europe_mercedes_benz_group__stream,europe_mercedes_benz_group__lake,STORES,medium,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_c6480405f7,,1,,1,ASSUMED
e84,europe_mercedes_benz_group__lake,europe_mercedes_benz_group__ai,FEEDS,medium,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_9d7110b026,,1,,1,ASSUMED
e85,europe_mercedes_benz_group__lake,europe_mercedes_benz_group__api,EXPOSES DATA,medium,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_f47819f8f1,,1,,1,ASSUMED
e86,europe_mercedes_benz_group__gov,europe_mercedes_benz_group__cloud,REGULATORY COMPLIANCE,hard,europe,Policy/Regulatory,EUR-Lex (GDPR),https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng,2/03/2026,Compliance constraint driven by GDPR and related EU privacy law.,VERIFIED,1,1,e_e47ab7b969,,0,2/03/2026,4,VERIFIED
e87,europe_mercedes_benz_group__reg,europe_mercedes_benz_group__ota,MANDATORY REPORTING,hard,europe,Policy/Regulatory,UNECE WP.29 (R155/R156),https://unece.org/transport/documents/2021/03/standards/un-regulation-no-155-cyber-security-and-cyber-security,2/03/2026,UNECE WP.29 cybersecurity/update management obligations vary by type approval regime.,VERIFIED,1,1,e_efc54c0db0,,0,2/03/2026,4,VERIFIED
e88,europe_mercedes_benz_group__api,europe_mercedes_benz_group__dms,INTEGRATES WITH,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_935e212c47,,1,,1,ASSUMED
e89,europe_mercedes_benz_group__tier1__bosch,europe_mercedes_benz_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_2bfeebbaa8,,1,,1,ASSUMED
e90,europe_mercedes_benz_group__tier1__continental,europe_mercedes_benz_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_3ce3c2143c,,1,,1,ASSUMED
e91,europe_mercedes_benz_group__tier1__zf,europe_mercedes_benz_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_9af6a65e7d,,1,,1,ASSUMED
e92,europe_mercedes_benz_group__tier1__valeo,europe_mercedes_benz_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_4a5914ac27,,1,,1,ASSUMED
e93,europe_mercedes_benz_group__tier1__forvia,europe_mercedes_benz_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_dfeefe1aeb,,1,,1,ASSUMED
e94,europe_mercedes_benz_group__tier1__aptiv,europe_mercedes_benz_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_1c7581235e,,1,,1,ASSUMED
e95,europe_mercedes_benz_group__tier1__magna_international,europe_mercedes_benz_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_54346cc243,,1,,1,ASSUMED
e96,europe_mercedes_benz_group__tier1__lear_corporation,europe_mercedes_benz_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_786a8a3df2,,1,,1,ASSUMED
e97,europe_mercedes_benz_group__tier1__denso,europe_mercedes_benz_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_7a8fd36dba,,1,,1,ASSUMED
e98,europe_mercedes_benz_group__tier1__aisin,europe_mercedes_benz_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_141648351a,,1,,1,ASSUMED
e99,europe_mercedes_benz_group__battery__catl,europe_mercedes_benz_group__holdco,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_28a389b03d,,1,,1,ASSUMED
e100,europe_mercedes_benz_group__battery__byd_battery,europe_mercedes_benz_group__holdco,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_c09d62e7c0,,1,,1,ASSUMED
e101,europe_mercedes_benz_group__battery__lg_energy_solution,europe_mercedes_benz_group__holdco,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_1ccd07395b,,1,,1,ASSUMED
e102,europe_mercedes_benz_group__battery__sk_on,europe_mercedes_benz_group__holdco,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_efb9e8c836,,1,,1,ASSUMED
e103,europe_mercedes_benz_group__battery__samsung_sdi,europe_mercedes_benz_group__holdco,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_422afd89c2,,1,,1,ASSUMED
e104,europe_mercedes_benz_group__battery__panasonic_energy,europe_mercedes_benz_group__holdco,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_77f3723922,,1,,1,ASSUMED
e105,europe_mercedes_benz_group__chip__nvidia,europe_mercedes_benz_group__os,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_62fa45ad4f,,1,,1,ASSUMED
e106,europe_mercedes_benz_group__chip__qualcomm,europe_mercedes_benz_group__os,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_4a225c7b18,,1,,1,ASSUMED
e107,europe_mercedes_benz_group__chip__nxp,europe_mercedes_benz_group__os,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_03e925d4e6,,1,,1,ASSUMED
e108,europe_mercedes_benz_group__chip__renesas,europe_mercedes_benz_group__os,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_436c3746c0,,1,,1,ASSUMED
